the_geom,cartodb_id,affiliation,founded,karl_id,name_zh_py,name_zh,name_bo,name_bo_wy,rid,long,lat
0101000020E610000058CA32C4B1BA5A4091D5AD9E93F64740,1506,,1778.0,,,,ཏ་ཁུ་རེ་དགོན་ཆེན།,ta khu re dgon chen/,G1979,106.9171,47.92638
0101000020E610000048C49448A2BD59403E05C078061D4240,2402,,,632122208:77,,,,,G1KR2154,102.96303,36.22676
0101000020E610000059DAA9B9DC465340CB14731074224140,55,Geluk,1831.0,,,,རི་རྫོང་དགོན་པ,ri rdzong dgon pa,G231,77.107222,34.269167
0101000020E6100000F3E505D8473158403B1405FA44AE4040,73,Sakya,1150.0,632721207:39,burang sajia si,布让萨迦寺,པུ་རོང་ས་སྐྱ་དགོན་པ,pu rong sa skya dgon pa,G1KR2724,96.77001,33.36148
0101000020E6100000D34D6210583F594016A746DE4C274740,266,,1650.0,,,,དགའ་ལྡན་བདེ་ལྡན་གླིང,dga' ldan bde ldan gling,G2KR78,100.98975,46.30703333
0101000020E6100000C3F17C06D47856408D28ED0DBEB03B40,596,,,,,,སྤུངས་ཐང་བདེ་བ་ཅན,spungs thang bde ba can,G54,89.887941,27.6904
0101000020E61000000606B584A1655B404C74822C1EE14740,1182,,1784.0,,,,དཔལ་ལྡན་འབྲས་སྤུངས,dpal ldan 'bras spungs,G2KR23,109.5879833,47.75873333
0101000020E61000006EDAE78C03BC5A40A857CA32C4FD4740,1183,,1761.0,,,,བསྟན་པ་དར་རྒྱས་གླིང,bstan pa dar rgyas gling,G2KR38,106.9377167,47.98255
0101000020E6100000226C787AA57457403B11D8A69EC64840,1185,,1875.0,,,,བདེ་རྒྱས་གླིང,bde rgyas gling,G2KR41,93.8226,49.55171667
0101000020E6100000338C16FBA6A95B40D5E76A2BF6A74740,1186,,1660.0,,,,ཀུན་ཏུ་དགའ་རབ་གླིང,kun tu dga' rab gling,G2KR108,110.6508167,47.3122
0101000020E6100000E03C832394275840125138B19AD94740,1187,,1811.0,,,,བཀྲ་ཤིས་ཕུན་ཚོགས་གླིང,bkra shis phun tshogs gling,G2KR141,96.61841667,47.70003333
0101000020E610000058923CD7F76C5340C2A38D23D6F44040,1260,,,,,,ཧེ་མི་དགོན,he mi dgon,G00JR3353,77.702627,33.912785
0101000020E61000004733164D6725594058A835CD3B2A4240,1599,Bon,1807.0,632521200:649,gasai si,尕赛寺,སྐ་གསར་བོན་དགོན,ska gsar bon dgon,G1KR2485,100.58443,36.32995
0101000020E6100000D9C9E02879C5594031B1F9B8367C4140,1818,Geluk,1932.0,623001203:623027122,,,མཛོད་དགེ་སྒར་རྙིང་དགོན,mdzod dge sgar rnying dgon,G1KR1928,103.08552,34.97042
0101000020E61000003A7AFCDEA6C959401E335019FF664140,1828,,,623022207:623022215,,,,,G1KR1951,103.15081,34.80466
0101000020E6100000753C66A032C856408D588B4F01A83D40,2184,Geluk,1755.0,540102006:540101120,Shide,希德寺,བཞི་སྡེ,bzhi sde,G1KR845,91.12809,29.65627
0101000020E61000007008556AF6EC57409ED1562591C53D40,2452,,,,,,དགའ་བ་ལུང་དགོན,dga' ba lung dgon,G2914,95.70254,29.771746
